ArticuloID,Descripcion,Articulo_Tipo,Articulo_Grupo,Articulo_Clase,Precio
215-1142R,FARO TSURU II 89-91 (PLASTICO) C/AJUSTES DER,FAROS,NISSAN,TAIWAN,360
215-1153L,FARO TSUBAME 94-02 C/BASE IZQ,FAROS,NISSAN,TAIWAN,550
215-1153R,FARO TSUBAME 94-02 C/BASE DER,FAROS,NISSAN,TAIWAN,550
215-1154L,FARO TSURU III 94-96 C/AJUSTES IZQ,FAROS,NISSAN,TAIWAN,400
215-1154R,FARO TSURU III 94-96 C/AJUSTES DER,FAROS,NISSAN,TAIWAN,400
215-1402L,CUARTO LATERAL TSURU I 84-87 IZQ,CUARTOS,NISSAN,TAIWAN,20
215-1402R,CUARTO LATERAL TSURU I 84-87 DER,CUARTOS,NISSAN,TAIWAN,20
215-1407,CUARTO LATERAL DATSUN SEDAN 79-84 (A10)  LH=RH,CUARTOS,NISSAN,TAIWAN,25
215-1412,CUARTO LATERAL TSURU II 88-89  LH=RH,CUARTOS,NISSAN,TAIWAN,25
215-1504L,CUARTO PUNTA NISSAN PU 92-93 (720) C/FRANJA IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1504L2,CUARTO PUNTA NISSAN PU 92-93 (720) NEGRO IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1504L3,CUARTO PUNTA NISSAN PU 92-93 (720) FILO CROMAD IZQ,CUARTOS,NISSAN,TAIWAN,55
215-1504R,CUARTO PUNTA NISSAN PU 92-93 (720) C/FRANJA DER,CUARTOS,NISSAN,TAIWAN,45
215-1504R2,CUARTO PUNTA NISSAN PU 92-93 (720) NEGRO DER,CUARTOS,NISSAN,TAIWAN,45
215-1504R3,CUARTO PUNTA NISSAN PU 92-93 (720) FILO CROMAD DER,CUARTOS,NISSAN,TAIWAN,55
215-1505N,CUARTO LATERAL DATSUN PU 73-80 (620)  LH=RH,CUARTOS,NISSAN,TAIWAN,25
215-1506L,CUARTO PUNTA NISSAN PU 81-91 (720) NEGRO IZQ,CUARTOS,NISSAN,TAIWAN,30
215-1506L3,CUARTO PUNTA NISSAN PU 81-91 (720) CROMADO IZQ,CUARTOS,NISSAN,TAIWAN,35
215-1506R,CUARTO PUNTA NISSAN PU 81-91 (720) NEGRO DER,CUARTOS,NISSAN,TAIWAN,30
215-1506R3,CUARTO PUNTA NISSAN PU 81-91 (720) CROMADO DER,CUARTOS,NISSAN,TAIWAN,35
215-1542L,CUARTO PUNTA TSURU III 94-96 IZQ,CUARTOS,NISSAN,TAIWAN,95
215-1542R,CUARTO PUNTA TSURU III 94-96 DER,CUARTOS,NISSAN,TAIWAN,95
215-1558L,CUARTO PUNTA NISSAN PU 94-03 (D21) CROMADO IZQ,CUARTOS,NISSAN,TAIWAN,80
215-1558L6,CUARTO PUNTA NISSAN PU 94-03 (D21) GRIS IZQ,CUARTOS,NISSAN,TAIWAN,70
215-1558R,CUARTO PUNTA NISSAN PU 94-03 (D21) CROMADO DER,CUARTOS,NISSAN,TAIWAN,80
215-1558R6,CUARTO PUNTA NISSAN PU 94-03 (D21) GRIS DER,CUARTOS,NISSAN,TAIWAN,70
215-1561L,CUARTO PUNTA TSUBAME 94-02 IZQ,CUARTOS,NISSAN,TAIWAN,160
215-1561R,CUARTO PUNTA TSUBAME 94-02 DER,CUARTOS,NISSAN,TAIWAN,160
215-1562L,CUARTO PUNTA TSURU III 01-03 IZQ,CUARTOS,NISSAN,TAIWAN,120
215-1562R,CUARTO PUNTA TSURU III 01-03 DER,CUARTOS,NISSAN,TAIWAN,120
215-1604L,CUARTO FRONTAL DATSUN PU 73-80 (620) IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1604R,CUARTO FRONTAL DATSUN PU 73-80 (620) DER,CUARTOS,NISSAN,TAIWAN,45
215-1605L,CUARTO FRONTAL NISSAN PU 81-93 (720) BICOLOR IZQ,CUARTOS,NISSAN,TAIWAN,35
215-1605R,CUARTO FRONTAL NISSAN PU 81-93 (720) BICOLOR DER,CUARTOS,NISSAN,TAIWAN,35
215-1621L,CUARTO FRONTAL TSURU I 86-87 GRANDE IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1621R,CUARTO FRONTAL TSURU I 86-87 GRANDE DER,CUARTOS,NISSAN,TAIWAN,45
215-1622L,CUARTO FRONTAL TSURU II 88-91 AUSTERO IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1622R,CUARTO FRONTAL TSURU II 88-91 AUSTERO DER,CUARTOS,NISSAN,TAIWAN,45
215-1631L,CUARTO FRONTAL TSURU II 89-91 LUJO IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1631L1,CUARTO FRONTAL NISSAN PU 94-02 (D-21) AMBAR IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1631R,CUARTO FRONTAL TSURU II 89-91 LUJO DER,CUARTOS,NISSAN,TAIWAN,45
215-1631R1,CUARTO FRONTAL NISSAN PU 94-02 (D-21) AMBAR DER,CUARTOS,NISSAN,TAIWAN,45
215-1638L,CUARTO FRONTAL TSURU I 84-85 CHICO IZQ,CUARTOS,NISSAN,TAIWAN,35
215-1638R,CUARTO FRONTAL TSURU I 84-85 CHICO DER,CUARTOS,NISSAN,TAIWAN,35
215-1644L,CUARTO FRONTAL DATSUN SEDAN 79-84 (A-10) IZQ,CUARTOS,NISSAN,TAIWAN,45
215-1644R,CUARTO FRONTAL DATSUN SEDAN 79-84 (A-10) DER,CUARTOS,NISSAN,TAIWAN,45
215-1905L,CALAVERA DATSUN PU 620 73-80 IZQ,CALAVERAS,NISSAN,TAIWAN,130
215-1905R,CALAVERA DATSUN PU 620 73-80 DER,CALAVERAS,NISSAN,TAIWAN,130
215-1906L,CALAVERA DATSUN PU 720 81-83 LUJO IZQ,CALAVERAS,NISSAN,TAIWAN,100
215-1906R,CALAVERA DATSUN PU 720 81-83 LUJO DER,CALAVERAS,NISSAN,TAIWAN,100
215-1915L,CALAVERA NISSAN PU 94-03 D-21 ESTAQUITAS IZQ,CALAVERAS,NISSAN,TAIWAN,110
215-1915R,CALAVERA NISSAN PU 94-03 D-21 ESTAQUITAS DER,CALAVERAS,NISSAN,TAIWAN,110
215-1919L,CALAVERA NISSAN PU 720 84-93 CROMADA IZQ,CALAVERAS,NISSAN,TAIWAN,130
215-1919L2,CALAVERA NISSAN PU 720 84-93 NEGRA IZQ,CALAVERAS,NISSAN,TAIWAN,130
215-1919R,CALAVERA NISSAN PU 720 84-93 CROMADA DER,CALAVERAS,NISSAN,TAIWAN,130
215-1919R2,CALAVERA NISSAN PU 720 84-93 NEGRA DER,CALAVERAS,NISSAN,TAIWAN,130
215-1923L,CALAVERA ICHI VAN 87-92 IZQ,CALAVERAS,NISSAN,TAIWAN,130
215-1923R,CALAVERA ICHI VAN 87-92 DER,CALAVERAS,NISSAN,TAIWAN,130
215-1926L,CALAVERA NISSAN PU 94-03 D-21 IZQ,CALAVERAS,NISSAN,TAIWAN,130
215-1926R,CALAVERA NISSAN PU 94-03 D-21 DER,CALAVERAS,NISSAN,TAIWAN,130
